program,rank_in_program,rank_by_mean_score,cell_type,n_cells,n_expressing,prop_expressing,ci_low,ci_high,mean_score,median_score,prop_overall,enrichment
P03_FCRL5,8,8,Platelet,101,16,0.15841584158415842,0.09992756899137685,0.2419358429055546,-0.2091609550629113,-0.2945723179408482,0.13411356254899764,1.1812067219248021
P03_FCRL5,9,11,dnT,57,8,0.14035087719298245,0.07287276143238601,0.2532446460934409,-0.32914260759525293,-0.2592620849609375,0.13411356254899764,1.0465077097754825
P03_FCRL5,10,20,NK_CD56bright,119,11,0.09243697478991597,0.05240057408111384,0.15796373670433264,-0.389498957547899,-0.3939389734144335,0.13411356254899764,0.689244048350029
P03_FCRL5,11,12,Treg,390,34,0.08717948717948718,0.06305620146732602,0.11935592709784285,-0.33796328732175823,-0.33343698154796253,0.13411356254899764,0.6500422889566939
P03_FCRL5,12,10,CD4 Naive,1403,122,0.08695652173913043,0.0733173455667412,0.10285137427497497,-0.326612107126959,-0.33299260944515074,0.13411356254899764,0.6483797767087229
P03_FCRL5,13,30,CD4 Proliferating,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,-1.0767840012327416,-1.2458893661994437,0.13411356254899764,0.6213639526791928
P03_FCRL5,14,13,CD8 Naive,682,52,0.07624633431085044,0.058616467784594506,0.09862316454403106,-0.34127109781996684,-0.3555558667864118,0.13411356254899764,0.5685206839762702
P03_FCRL5,15,16,CD8 TEM,1574,120,0.07623888182973317,0.06413563521196516,0.09040553079526187,-0.37054964165948884,-0.3850880139833921,0.13411356254899764,0.5684651155387787
P03_FCRL5,16,23,NK Proliferating,27,2,0.07407407407407407,0.020554654060988622,0.23369592683023144,-0.5427763151422953,-0.5506108925559304,0.13411356254899764,0.5523235134926158
P03_FCRL5,17,22,NK,1554,107,0.06885456885456885,0.05729920029514248,0.08253624803449876,-0.4149662599661789,-0.44049247475413533,0.13411356254899764,0.5134049647619585
P03_FCRL5,18,15,CD4 TCM,4196,286,0.06816015252621545,0.060922938934640215,0.07618734593368172,-0.36647422489544285,-0.372246414531361,0.13411356254899764,0.5082271414668708
P03_FCRL5,19,14,MAIT,103,7,0.06796116504854369,0.03330773910988612,0.13368229469933413,-0.35238690464903333,-0.3800578064113469,0.13411356254899764,0.5067434177189534
P03_FCRL5,20,18,CD4 CTL,258,15,0.05813953488372093,0.03554639107779677,0.09369769033357492,-0.3886949747619007,-0.4168390822100949,0.13411356254899764,0.4335097344273438
P03_FCRL5,21,19,CD8 TCM,133,7,0.05263157894736842,0.025725728312537686,0.1046547789873159,-0.38911875643682203,-0.37192523795288884,0.13411356254899764,0.3924403911658059
P03_FCRL5,22,21,gdT,219,11,0.0502283105022831,0.0282750364006861,0.08768838870634055,-0.3985507851215908,-0.41572963875609553,0.13411356254899764,0.37452073860115725
P03_FCRL5,23,17,CD4 TEM,268,11,0.041044776119402986,0.023070817805011478,0.07198995376677102,-0.3832527522279162,-0.37885431834629607,0.13411356254899764,0.30604493191661736
P03_FCRL5,24,24,cDC2,119,4,0.03361344537815126,0.013147752896700837,0.0832485202701503,-0.562623122072787,-0.5931693049839564,0.13411356254899764,0.2506341994000105
P03_FCRL5,25,25,CD14 Mono,4705,121,0.0257173219978746,0.02156659033088191,0.030641890453744866,-0.6521175720099756,-0.6922443731729087,0.13411356254899764,0.191757802187075
P03_FCRL5,26,26,CD16 Mono,436,7,0.016055045871559634,0.007798351342228643,0.0327650345389722,-0.674083122333298,-0.7067489991249976,0.13411356254899764,0.1197123211583766
P03_FCRL5,27,9,ILC,10,0,0.0,0.0,0.2775327998628892,-0.2978191104492584,-0.26461680461834003,0.13411356254899764,0.0
P03_FCRL5,28,27,HSPC,5,0,0.0,0.0,0.43448246478317476,-0.7918558695161497,-0.9973669097949933,0.13411356254899764,0.0
P03_FCRL5,29,28,cDC1,9,0,0.0,0.0,0.2991450484195441,-0.8471297889698464,-0.8510889694907449,0.13411356254899764,0.0
P03_FCRL5,30,29,CD8 Proliferating,2,0,0.0,0.0,0.6576197724933469,-0.9502045119273198,-0.9502045119273198,0.13411356254899764,0.0
P04_PYHIN1,1,1,NK,1554,1554,1.0,0.9975341143998039,0.9999999999999999,4.0581301805021495,4.098461725319246,0.40928435435099114,2.4432890956355178
P04_PYHIN1,2,2,NK Proliferating,27,27,1.0,0.8754449702581328,0.9999999999999998,3.6253777471085877,3.627198883424322,0.40928435435099114,2.4432890956355178
P04_PYHIN1,3,3,CD4 CTL,258,258,1.0,0.9853290657713424,0.9999999999999999,2.910740048880075,2.8879765448512797,0.40928435435099114,2.4432890956355178
P04_PYHIN1,4,5,NK_CD56bright,119,119,1.0,0.9687283197580606,1.0,2.5700149196207507,2.5303886186837197,0.40928435435099114,2.4432890956355178
P04_PYHIN1,5,7,CD8 Proliferating,2,2,1.0,0.34238022750665303,1.0,2.375836302975574,2.375836302975574,0.40928435435099114,2.4432890956355178
P04_PYHIN1,6,8,MAIT,103,103,1.0,0.964045241771352,1.0,1.8523363891558726,1.7907303726625252,0.40928435435099114,2.4432890956355178
P04_PYHIN1,7,4,CD8 TEM,1574,1570,0.9974587039390089,0.9934838435028622,0.9990113094451759,2.846245796135695,2.984510262117807,0.40928435435099114,2.437079974680917
P04_PYHIN1,8,10,CD4 TEM,268,256,0.9552238805970149,0.9233785494327954,0.9742034494960056,0.808859361192273,0.8219999538559511,0.40928435435099114,2.3338880913533306
P04_PYHIN1,9,6,gdT,219,205,0.9360730593607306,0.8955699310514517,0.9615416720173703,2.4735680101373,2.649082912460388,0.40928435435099114,2.287097098654252
P04_PYHIN1,10,11,CD8 TCM,133,124,0.9323308270676691,0.8763949725596025,0.9639936128228916,0.7908658528517283,0.7530486778657598,0.40928435435099114,2.2779537432992796
P04_PYHIN1,11,9,Platelet,101,90,0.8910891089108911,0.8154299832554898,0.9380887190654149,1.198322128048047,0.5633264965991898,0.40928435435099114,2.1771883030415506
P04_PYHIN1,12,13,dnT,57,45,0.7894736842105263,0.6671387891680949,0.8752545169696542,0.3266481090191681,0.2149060744932858,0.40928435435099114,1.9289124439227774
P04_PYHIN1,13,15,Eryth,28,17,0.6071428571428571,0.42409044296597176,0.764343134584204,0.04671124586344998,0.039720092987918454,0.40928435435099114,1.4834255223501358
P04_PYHIN1,14,14,CD8 Naive,682,413,0.6055718475073314,0.5683991775376497,0.6415618829202706,0.10756843120017992,0.09229134034918979,0.40928435435099114,1.4795870916385174
P04_PYHIN1,15,12,ILC,10,6,0.6,0.31267376973365824,0.8318196702937638,0.3947934585479368,0.4399533381328046,0.40928435435099114,1.4659734573813108
P04_PYHIN1,16,16,Treg,390,149,0.382051282051282,0.33520085306533026,0.43120261223900364,-0.06247955638958955,-0.08531200891517732,0.40928435435099114,0.9334617314094671
P04_PYHIN1,17,17,CD4 TCM,4196,1565,0.37297426120114396,0.3584643837932302,0.38771651125909623,-0.0685349341068039,-0.10812015855168727,0.40928435435099114,0.9112839453454685
P04_PYHIN1,18,18,CD4 Naive,1403,496,0.353528153955809,0.32894375808247334,0.37891244886743647,-0.09263150205728121,-0.10599820883877309,0.40928435435099114,0.8637714835603827
P04_PYHIN1,19,19,CD4 Proliferating,12,4,0.3333333333333333,0.13812009109121315,0.6093779111272004,-0.29574852589782147,-0.7420997775893614,0.40928435435099114,0.8144296985451726
P04_PYHIN1,20,24,HSPC,5,1,0.2,0.03622410863243014,0.6244653702374747,-0.6077244092948945,-0.7476837391068181,0.40928435435099114,0.4886578191271036
